PingItem [client=50128035, server=49252578, time=1252481975684]
PingItem [client=49413879, server=49428838, time=1252584996978]
PingItem [client=49330244, server=49342252, time=1252768676736]
PingItem [client=49302315, server=49286936, time=1252952348321]
PingItem [client=49260842, server=49291585, time=1253136863016]
PingItem [client=49730389, server=49779088, time=1253320535713]
PingItem [client=49337648, server=49348030, time=1253504803441]
PingItem [client=49630156, server=49633652, time=1253693189155]
PingItem [client=49299841, server=49277222, time=1253876708292]
PingItem [client=49278228, server=49277475, time=1254064303880]
SpeedItem [upload=false, thread=0, time=51184092, bytes=4096]
SpeedItem [upload=false, thread=0, time=100312699, bytes=18328]
SpeedItem [upload=false, thread=0, time=149733124, bytes=28712]
SpeedItem [upload=false, thread=0, time=189085303, bytes=31608]
SpeedItem [upload=false, thread=0, time=238101844, bytes=90976]
SpeedItem [upload=false, thread=0, time=287194887, bytes=118576]
SpeedItem [upload=false, thread=0, time=336119572, bytes=150432]
SpeedItem [upload=false, thread=0, time=384996188, bytes=182288]
SpeedItem [upload=false, thread=0, time=434016567, bytes=215592]
SpeedItem [upload=false, thread=0, time=482923630, bytes=246000]
SpeedItem [upload=false, thread=0, time=492971307, bytes=277608]
SpeedItem [upload=false, thread=0, time=531972725, bytes=282200]
SpeedItem [upload=false, thread=0, time=581141838, bytes=318152]
SpeedItem [upload=false, thread=0, time=627683595, bytes=347360]
SpeedItem [upload=false, thread=0, time=639687933, bytes=358696]
SpeedItem [upload=false, thread=0, time=676749028, bytes=383560]
SpeedItem [upload=false, thread=0, time=688797434, bytes=393448]
SpeedItem [upload=false, thread=0, time=725752214, bytes=416864]
SpeedItem [upload=false, thread=0, time=737788433, bytes=428200]
SpeedItem [upload=false, thread=0, time=774821484, bytes=454264]
SpeedItem [upload=false, thread=0, time=786876568, bytes=465848]
SpeedItem [upload=false, thread=0, time=823961129, bytes=491912]
SpeedItem [upload=false, thread=0, time=835913465, bytes=503496]
SpeedItem [upload=false, thread=0, time=873060264, bytes=526664]
SpeedItem [upload=false, thread=0, time=885019699, bytes=541144]
SpeedItem [upload=false, thread=0, time=922109027, bytes=564312]
SpeedItem [upload=false, thread=0, time=934013545, bytes=578792]
SpeedItem [upload=false, thread=0, time=971267974, bytes=601960]
SpeedItem [upload=false, thread=0, time=983216708, bytes=616440]
SpeedItem [upload=false, thread=0, time=1020451490, bytes=639608]
SpeedItem [upload=false, thread=0, time=1032232167, bytes=654088]
SpeedItem [upload=false, thread=0, time=1069671207, bytes=677256]
SpeedItem [upload=false, thread=0, time=1081124020, bytes=689088]
SpeedItem [upload=false, thread=0, time=1118778299, bytes=714904]
SpeedItem [upload=false, thread=0, time=1130183855, bytes=729384]
SpeedItem [upload=false, thread=0, time=1167898523, bytes=752552]
SpeedItem [upload=false, thread=0, time=1179204409, bytes=767032]
SpeedItem [upload=false, thread=0, time=1215909018, bytes=789000]
SpeedItem [upload=false, thread=0, time=1228202296, bytes=807576]
SpeedItem [upload=false, thread=0, time=1265053005, bytes=827848]
SpeedItem [upload=false, thread=0, time=1277533534, bytes=845224]
SpeedItem [upload=false, thread=0, time=1314142828, bytes=865496]
SpeedItem [upload=false, thread=0, time=1326442130, bytes=884568]
SpeedItem [upload=false, thread=0, time=1363222584, bytes=906040]
SpeedItem [upload=false, thread=0, time=1375439063, bytes=926312]
SpeedItem [upload=false, thread=0, time=1412289176, bytes=942488]
SpeedItem [upload=false, thread=0, time=1424473715, bytes=965656]
SpeedItem [upload=false, thread=0, time=1461358524, bytes=983032]
SpeedItem [upload=false, thread=0, time=1473550121, bytes=1004752]
SpeedItem [upload=false, thread=0, time=1510392701, bytes=1021880]
